id,nome,localidade,frequencia
824,batista,31,222818
825,batista,50,22332
826,batista,51,29419
827,batista,15,77590
828,batista,25,55499
829,batista,26,76251
830,batista,22,28010
831,batista,41,86586
832,batista,33,107462
833,batista,11,15785
834,batista,24,34024
835,batista,14,4707
836,batista,43,38361
837,batista,42,34409
838,batista,28,28757
839,batista,35,322318
840,batista,17,19861
841,nunes,0,1569246
842,nunes,12,4738
843,nunes,27,21169
844,nunes,13,33471
845,nunes,16,9602
846,nunes,29,118497
847,nunes,23,56964
848,nunes,53,28085
849,nunes,32,32660
850,nunes,52,69079
851,nunes,21,65370
852,nunes,31,164198
853,nunes,50,24796
854,nunes,51,31242
855,nunes,15,69372
856,nunes,25,36073
857,nunes,26,66957
858,nunes,22,39345
859,nunes,41,60250
860,nunes,33,114703
861,nunes,11,12972
862,nunes,24,27104
863,nunes,14,3078
864,nunes,43,124434
865,nunes,42,49322
866,nunes,28,19686
867,nunes,35,267094
868,nunes,17,18985
869,freitas,0,1534767
870,freitas,12,11815
871,freitas,27,14181
872,freitas,13,43749
873,freitas,16,8615
874,freitas,29,83599
875,freitas,23,136718
876,freitas,53,21020
877,freitas,32,31496
878,freitas,52,60550
879,freitas,21,41347
880,freitas,31,205958
881,freitas,50,24675
882,freitas,51,23890
883,freitas,15,72841
884,freitas,25,29728
885,freitas,26,57898
886,freitas,22,19219
887,freitas,41,65775
888,freitas,33,129610
889,freitas,11,12705
890,freitas,24,34575
891,freitas,14,3981
892,freitas,43,87453
893,freitas,42,35852
894,freitas,28,12555
895,freitas,35,256755
896,freitas,17,8207
897,conceicao,0,1534490
898,conceicao,12,7037
899,conceicao,27,53046
900,conceicao,13,13533
901,conceicao,16,6937
902,conceicao,29,305883
903,conceicao,23,23596
904,conceicao,53,15640
905,conceicao,32,28662
906,conceicao,52,39123
907,conceicao,21,169596
908,conceicao,31,70059
909,conceicao,50,11722
910,conceicao,51,24264
911,conceicao,15,106793
912,conceicao,25,27372
913,conceicao,26,92582
914,conceicao,22,49916
915,conceicao,41,20521
916,conceicao,33,174534
917,conceicao,11,5488
918,conceicao,24,13394
919,conceicao,14,5934
920,conceicao,43,25211
921,conceicao,42,15307
922,conceicao,28,40678
923,conceicao,35,170955
924,conceicao,17,16707
925,melo,0,1522803
926,melo,12,12280
927,melo,27,59892
928,melo,13,40094
929,melo,16,6788
930,melo,29,64473
931,melo,23,79025
932,melo,53,25380
933,melo,32,13887
934,melo,52,57573
935,melo,21,58303
936,melo,31,146707
937,melo,50,15033
938,melo,51,20430
939,melo,15,77276
940,melo,25,50299
941,melo,26,166033
942,melo,22,26123
943,melo,41,55952
944,melo,33,105400
945,melo,11,10889
946,melo,24,50447
947,melo,14,5634
948,melo,43,46513
949,melo,42,34157
950,melo,28,34078
951,melo,35,249085
952,melo,17,11052
953,moreira,0,1517636
954,moreira,12,5244
955,moreira,27,10347
956,moreira,13,25375
957,moreira,16,4096
958,moreira,29,134624
959,moreira,23,83427
960,moreira,53,25073
961,moreira,32,36552
962,moreira,52,78343
963,moreira,21,41025
964,moreira,31,274756
965,moreira,50,18680
966,moreira,51,24948
967,moreira,15,56228
968,moreira,25,16082
969,moreira,26,21114
970,moreira,22,14772
971,moreira,41,77192
972,moreira,33,130702
973,moreira,11,12002
974,moreira,24,11669
975,moreira,14,2917
976,moreira,43,57656
977,moreira,42,32835
978,moreira,28,5697
979,moreira,35,302423
980,moreira,17,13857
981,cardoso,0,1486310
982,cardoso,12,2921
983,cardoso,27,9386
984,cardoso,13,30961
985,cardoso,16,13049
986,cardoso,29,119625
987,cardoso,23,33308
988,cardoso,53,24961
989,cardoso,32,26908
990,cardoso,52,73281
991,cardoso,21,70296
992,cardoso,31,170683
993,cardoso,50,19932
994,cardoso,51,23970
995,cardoso,15,112522
996,cardoso,25,17920
997,cardoso,26,22047
998,cardoso,22,34891
999,cardoso,41,71126
1000,cardoso,33,110183
1001,cardoso,11,11258
1002,cardoso,24,13162
1003,cardoso,14,3222
1004,cardoso,43,86558
1005,cardoso,42,66567
1006,cardoso,28,18243
1007,cardoso,35,280340
1008,cardoso,17,18990
1009,reis,0,1483376
1010,reis,12,2851
1011,reis,27,5736
1012,reis,13,34604
1013,reis,16,7530
1014,reis,29,197253
1015,reis,23,18556
1016,reis,53,22122
1017,reis,32,28685
1018,reis,52,60036
1019,reis,21,94841
1020,reis,31,291841
1021,reis,50,12188
1022,reis,51,22635
1023,reis,15,105180
1024,reis,25,4388
1025,reis,26,16352
1026,reis,22,27630
1027,reis,41,45140
1028,reis,33,105573
1029,reis,11,11555
1030,reis,24,3346
1031,reis,14,4157
1032,reis,43,47267
1033,reis,42,21802
1034,reis,28,18720
1035,reis,35,253033
1036,reis,17,20355
1037,cruz,0,1476511
1038,cruz,12,7092
1039,cruz,27,7311
1040,cruz,13,40750
1041,cruz,16,5910
1042,cruz,29,203058
1043,cruz,23,50157
1044,cruz,53,17236
1045,cruz,32,23849
1046,cruz,52,42203
1047,cruz,21,65227
1048,cruz,31,161901
1049,cruz,50,16971
1050,cruz,51,32724
1051,cruz,15,80874
1052,cruz,25,20655
1053,cruz,26,41311
1054,cruz,22,28915
1055,cruz,41,79708
1056,cruz,33,109718
1057,cruz,11,11232
1058,cruz,24,24028
1059,cruz,14,4785
1060,cruz,43,45988
1061,cruz,42,34485
1062,cruz,28,34952
1063,cruz,35,272128
1064,cruz,17,13343
1065,ramos,0,1354309
1066,ramos,12,2927
1067,ramos,27,13677
1068,ramos,13,41699
1069,ramos,16,9593
1070,ramos,29,118724
1071,ramos,23,25454
1072,ramos,53,18450
1073,ramos,32,31742
1074,ramos,52,42183
1075,ramos,21,42185
1076,ramos,31,151589
1077,ramos,50,19106
1078,ramos,51,25222
1079,ramos,15,56599
1080,ramos,25,28975
1081,ramos,26,69872
1082,ramos,22,16108
1083,ramos,41,77286
1084,ramos,33,128765
1085,ramos,11,11838
1086,ramos,24,8949
1087,ramos,14,4119
1088,ramos,43,62753
1089,ramos,42,44856
1090,ramos,28,16351
1091,ramos,35,276792
1092,ramos,17,8495
1093,mendes,0,1329652
1094,mendes,12,4828
1095,mendes,27,9536
1096,mendes,13,22494
1097,mendes,16,6197
1098,mendes,29,83041
1099,mendes,23,62884
1100,mendes,53,24787
1101,mendes,32,20169
1102,mendes,52,62043
1103,mendes,21,98019
1104,mendes,31,211330
1105,mendes,50,18797
1106,mendes,51,26857
1107,mendes,15,58871
1108,mendes,25,23425
1109,mendes,26,44952
1110,mendes,22,33402
1111,mendes,41,65907
1112,mendes,33,94873
1113,mendes,11,10953
1114,mendes,24,10856
1115,mendes,14,3487
1116,mendes,43,40424
1117,mendes,42,36362
1118,mendes,28,4382
1119,mendes,35,237817
1120,mendes,17,12959
1121,marques,0,1328317
1122,marques,12,4138
1123,marques,27,20331
1124,marques,13,39872
1125,marques,16,8196
1126,marques,29,74759
1127,marques,23,68194
1128,marques,53,24471
1129,marques,32,20713
1130,marques,52,61905
1131,marques,21,49891
1132,marques,31,164525
1133,marques,50,24770
1134,marques,51,27859
1135,marques,15,50466
1136,marques,25,25744
1137,marques,26,51170
1138,marques,22,26295
1139,marques,41,57393
1140,marques,33,108669
1141,marques,11,9537
1142,marques,24,15265
1143,marques,14,3478
1144,marques,43,72486
1145,marques,42,27284
1146,marques,28,9112
1147,marques,35,273193
1148,marques,17,8601
1149,machado,0,1268583
1150,machado,12,3044
1151,machado,27,5939
1152,machado,13,12548
1153,machado,16,4826
1154,machado,29,67154
1155,machado,23,20403
1156,machado,53,14911
1157,machado,32,31563
1158,machado,52,46202
1159,machado,21,33504
1160,machado,31,126405
1161,machado,50,18264
1162,machado,51,17453
1163,machado,15,40178
1164,machado,25,6580
1165,machado,26,14357
1166,machado,22,20915
1167,machado,41,108980
1168,machado,33,135643
1169,machado,11,9146
1170,machado,24,4935
1171,machado,14,2128
1172,machado,43,211775
1173,machado,42,90019
1174,machado,28,6922
1175,machado,35,207772
1176,machado,17,7017
1177,rosa,0,1197956
1178,rosa,12,1190
1179,rosa,27,3250
1180,rosa,13,3620
1181,rosa,16,1493
1182,rosa,29,63637
1183,rosa,23,7312
1184,rosa,53,10312
1185,rosa,32,30677
1186,rosa,52,61314
1187,rosa,21,14431
1188,rosa,31,147154
1189,rosa,50,17076
1190,rosa,51,22224
1191,rosa,15,24838
1192,rosa,25,2948
1193,rosa,26,8414
1194,rosa,22,6721
1195,rosa,41,90385
1196,rosa,33,107082
1197,rosa,11,8639
1198,rosa,24,3782
1199,rosa,14,1204
1200,rosa,43,235513
1201,rosa,42,99499
1202,rosa,28,5913
1203,rosa,35,214843
1204,rosa,17,4485
1205,brito,0,1175392
1206,brito,12,6010
1207,brito,27,12819
1208,brito,13,29270
1209,brito,16,12216
1210,brito,29,183268
1211,brito,23,67044
1212,brito,53,21107
1213,brito,32,13363
1214,brito,52,45942
1215,brito,21,61784
1216,brito,31,81395
1217,brito,50,12744
1218,brito,51,19309
1219,brito,15,93075
1220,brito,25,34185
1221,brito,26,49916
1222,brito,22,43200
1223,brito,41,31155
1224,brito,33,64842
1225,brito,11,9533
1226,brito,24,23035
1227,brito,14,4513
1228,brito,43,21894
1229,brito,42,12733
1230,brito,28,9798
1231,brito,35,193474
1232,brito,17,17768
1233,moraes,0,1135109
1234,moraes,12,3430
1235,moraes,27,9179
1236,moraes,13,33579
1237,moraes,16,10807
1238,moraes,29,36144
1239,moraes,23,29205
1240,moraes,53,13852
1241,moraes,32,18034
1242,moraes,52,46292
1243,moraes,21,57704
1244,moraes,31,75587
